"code","date","value","uname","tcode"
"PNADCA_PCT25SFUUF",2016-01-01,40.5,"Brazil",0
"PNADCA_PCT25SFUUF",2017-01-01,39.6,"Brazil",0
"PNADCA_PCT25SFUUF",2018-01-01,38.5,"Brazil",0
"PNADCA_PCT25SFUUF",2019-01-01,37.2,"Brazil",0
"PNADCA_PCT25SFUUF",2022-01-01,34,"Brazil",0
"PNADCA_PCT25SFUUF",2023-01-01,33.1,"Brazil",0
"PNADCA_PCT25SFUUF",2024-01-01,31.7,"Brazil",0
"PNADCA_PCT25SFUUF",2016-01-01,45.6,"Regions",1
"PNADCA_PCT25SFUUF",2017-01-01,44.1,"Regions",1
"PNADCA_PCT25SFUUF",2018-01-01,42.9,"Regions",1
"PNADCA_PCT25SFUUF",2019-01-01,41.3,"Regions",1
"PNADCA_PCT25SFUUF",2022-01-01,38,"Regions",1
"PNADCA_PCT25SFUUF",2023-01-01,36.7,"Regions",1
"PNADCA_PCT25SFUUF",2024-01-01,34.6,"Regions",1
"PNADCA_PCT25SFUUF",2016-01-01,51.3,"Regions",2
"PNADCA_PCT25SFUUF",2017-01-01,50.4,"Regions",2
"PNADCA_PCT25SFUUF",2018-01-01,48.8,"Regions",2
"PNADCA_PCT25SFUUF",2019-01-01,47.7,"Regions",2
"PNADCA_PCT25SFUUF",2022-01-01,43.9,"Regions",2
"PNADCA_PCT25SFUUF",2023-01-01,42.7,"Regions",2
"PNADCA_PCT25SFUUF",2024-01-01,41.2,"Regions",2
"PNADCA_PCT25SFUUF",2016-01-01,34,"Regions",3
"PNADCA_PCT25SFUUF",2017-01-01,33,"Regions",3
"PNADCA_PCT25SFUUF",2018-01-01,32.1,"Regions",3
"PNADCA_PCT25SFUUF",2019-01-01,31.1,"Regions",3
"PNADCA_PCT25SFUUF",2022-01-01,28.1,"Regions",3
"PNADCA_PCT25SFUUF",2023-01-01,27.6,"Regions",3
"PNADCA_PCT25SFUUF",2024-01-01,26.5,"Regions",3
"PNADCA_PCT25SFUUF",2016-01-01,39.1,"Regions",4
"PNADCA_PCT25SFUUF",2017-01-01,38.6,"Regions",4
"PNADCA_PCT25SFUUF",2018-01-01,37.9,"Regions",4
"PNADCA_PCT25SFUUF",2019-01-01,35.6,"Regions",4
"PNADCA_PCT25SFUUF",2022-01-01,33.1,"Regions",4
"PNADCA_PCT25SFUUF",2023-01-01,32.6,"Regions",4
"PNADCA_PCT25SFUUF",2024-01-01,31,"Regions",4
"PNADCA_PCT25SFUUF",2016-01-01,38.5,"Regions",5
"PNADCA_PCT25SFUUF",2017-01-01,38.1,"Regions",5
"PNADCA_PCT25SFUUF",2018-01-01,36.9,"Regions",5
"PNADCA_PCT25SFUUF",2019-01-01,35.2,"Regions",5
"PNADCA_PCT25SFUUF",2022-01-01,31.6,"Regions",5
"PNADCA_PCT25SFUUF",2023-01-01,29.5,"Regions",5
"PNADCA_PCT25SFUUF",2024-01-01,27.8,"Regions",5
"PNADCA_PCT25SFUUF",2016-01-01,49.5,"States",11
"PNADCA_PCT25SFUUF",2017-01-01,48.3,"States",11
"PNADCA_PCT25SFUUF",2018-01-01,46.7,"States",11
"PNADCA_PCT25SFUUF",2019-01-01,45.2,"States",11
"PNADCA_PCT25SFUUF",2022-01-01,41.3,"States",11
"PNADCA_PCT25SFUUF",2023-01-01,41.5,"States",11
"PNADCA_PCT25SFUUF",2024-01-01,38.9,"States",11
"PNADCA_PCT25SFUUF",2016-01-01,48,"States",12
"PNADCA_PCT25SFUUF",2017-01-01,46.7,"States",12
"PNADCA_PCT25SFUUF",2018-01-01,46.2,"States",12
"PNADCA_PCT25SFUUF",2019-01-01,43.5,"States",12
"PNADCA_PCT25SFUUF",2022-01-01,38,"States",12
"PNADCA_PCT25SFUUF",2023-01-01,38.9,"States",12
"PNADCA_PCT25SFUUF",2024-01-01,37.6,"States",12
"PNADCA_PCT25SFUUF",2016-01-01,39,"States",13
"PNADCA_PCT25SFUUF",2017-01-01,37.4,"States",13
"PNADCA_PCT25SFUUF",2018-01-01,36.6,"States",13
"PNADCA_PCT25SFUUF",2019-01-01,34.7,"States",13
"PNADCA_PCT25SFUUF",2022-01-01,30.8,"States",13
"PNADCA_PCT25SFUUF",2023-01-01,30.5,"States",13
"PNADCA_PCT25SFUUF",2024-01-01,28.5,"States",13
"PNADCA_PCT25SFUUF",2016-01-01,35,"States",14
"PNADCA_PCT25SFUUF",2017-01-01,32.1,"States",14
"PNADCA_PCT25SFUUF",2018-01-01,32.6,"States",14
"PNADCA_PCT25SFUUF",2019-01-01,28.8,"States",14
"PNADCA_PCT25SFUUF",2022-01-01,25.9,"States",14
"PNADCA_PCT25SFUUF",2023-01-01,25.1,"States",14
"PNADCA_PCT25SFUUF",2024-01-01,24.3,"States",14
"PNADCA_PCT25SFUUF",2016-01-01,49.1,"States",15
"PNADCA_PCT25SFUUF",2017-01-01,47.2,"States",15
"PNADCA_PCT25SFUUF",2018-01-01,45.7,"States",15
"PNADCA_PCT25SFUUF",2019-01-01,44.3,"States",15
"PNADCA_PCT25SFUUF",2022-01-01,42.2,"States",15
"PNADCA_PCT25SFUUF",2023-01-01,39.8,"States",15
"PNADCA_PCT25SFUUF",2024-01-01,37,"States",15
"PNADCA_PCT25SFUUF",2016-01-01,34,"States",16
"PNADCA_PCT25SFUUF",2017-01-01,32.4,"States",16
"PNADCA_PCT25SFUUF",2018-01-01,34.7,"States",16
"PNADCA_PCT25SFUUF",2019-01-01,32.1,"States",16
"PNADCA_PCT25SFUUF",2022-01-01,28.5,"States",16
"PNADCA_PCT25SFUUF",2023-01-01,27.2,"States",16
"PNADCA_PCT25SFUUF",2024-01-01,28.1,"States",16
"PNADCA_PCT25SFUUF",2016-01-01,45.6,"States",17
"PNADCA_PCT25SFUUF",2017-01-01,45.7,"States",17
"PNADCA_PCT25SFUUF",2018-01-01,44.1,"States",17
"PNADCA_PCT25SFUUF",2019-01-01,43.1,"States",17
"PNADCA_PCT25SFUUF",2022-01-01,37.3,"States",17
"PNADCA_PCT25SFUUF",2023-01-01,36.9,"States",17
"PNADCA_PCT25SFUUF",2024-01-01,36.6,"States",17
"PNADCA_PCT25SFUUF",2016-01-01,54.8,"States",21
"PNADCA_PCT25SFUUF",2017-01-01,52.9,"States",21
"PNADCA_PCT25SFUUF",2018-01-01,51,"States",21
"PNADCA_PCT25SFUUF",2019-01-01,49.5,"States",21
"PNADCA_PCT25SFUUF",2022-01-01,44.2,"States",21
"PNADCA_PCT25SFUUF",2023-01-01,43.2,"States",21
"PNADCA_PCT25SFUUF",2024-01-01,42.3,"States",21
"PNADCA_PCT25SFUUF",2016-01-01,55,"States",22
"PNADCA_PCT25SFUUF",2017-01-01,53.2,"States",22
"PNADCA_PCT25SFUUF",2018-01-01,53.1,"States",22
"PNADCA_PCT25SFUUF",2019-01-01,52.6,"States",22
"PNADCA_PCT25SFUUF",2022-01-01,48.8,"States",22
"PNADCA_PCT25SFUUF",2023-01-01,46.5,"States",22
"PNADCA_PCT25SFUUF",2024-01-01,45.2,"States",22
"PNADCA_PCT25SFUUF",2016-01-01,50.5,"States",23
"PNADCA_PCT25SFUUF",2017-01-01,48.8,"States",23
"PNADCA_PCT25SFUUF",2018-01-01,46.2,"States",23
"PNADCA_PCT25SFUUF",2019-01-01,45.7,"States",23
"PNADCA_PCT25SFUUF",2022-01-01,42.4,"States",23
"PNADCA_PCT25SFUUF",2023-01-01,41.4,"States",23
"PNADCA_PCT25SFUUF",2024-01-01,40.5,"States",23
"PNADCA_PCT25SFUUF",2016-01-01,48,"States",24
"PNADCA_PCT25SFUUF",2017-01-01,48.2,"States",24
"PNADCA_PCT25SFUUF",2018-01-01,47.2,"States",24
"PNADCA_PCT25SFUUF",2019-01-01,45.6,"States",24
"PNADCA_PCT25SFUUF",2022-01-01,41.3,"States",24
"PNADCA_PCT25SFUUF",2023-01-01,40.5,"States",24
"PNADCA_PCT25SFUUF",2024-01-01,38,"States",24
"PNADCA_PCT25SFUUF",2016-01-01,54.3,"States",25
"PNADCA_PCT25SFUUF",2017-01-01,52.2,"States",25
"PNADCA_PCT25SFUUF",2018-01-01,52.6,"States",25
"PNADCA_PCT25SFUUF",2019-01-01,51.9,"States",25
"PNADCA_PCT25SFUUF",2022-01-01,49.3,"States",25
"PNADCA_PCT25SFUUF",2023-01-01,47.1,"States",25
"PNADCA_PCT25SFUUF",2024-01-01,45.2,"States",25
"PNADCA_PCT25SFUUF",2016-01-01,48.3,"States",26
"PNADCA_PCT25SFUUF",2017-01-01,47.8,"States",26
"PNADCA_PCT25SFUUF",2018-01-01,44.6,"States",26
"PNADCA_PCT25SFUUF",2019-01-01,43.8,"States",26
"PNADCA_PCT25SFUUF",2022-01-01,42.1,"States",26
"PNADCA_PCT25SFUUF",2023-01-01,40.5,"States",26
"PNADCA_PCT25SFUUF",2024-01-01,40.1,"States",26
"PNADCA_PCT25SFUUF",2016-01-01,57.3,"States",27
"PNADCA_PCT25SFUUF",2017-01-01,56.6,"States",27
"PNADCA_PCT25SFUUF",2018-01-01,54.6,"States",27
"PNADCA_PCT25SFUUF",2019-01-01,52.7,"States",27
"PNADCA_PCT25SFUUF",2022-01-01,47.8,"States",27
"PNADCA_PCT25SFUUF",2023-01-01,45.6,"States",27
"PNADCA_PCT25SFUUF",2024-01-01,44.8,"States",27
"PNADCA_PCT25SFUUF",2016-01-01,50.8,"States",28
"PNADCA_PCT25SFUUF",2017-01-01,50.1,"States",28
"PNADCA_PCT25SFUUF",2018-01-01,49.9,"States",28
"PNADCA_PCT25SFUUF",2019-01-01,48.5,"States",28
"PNADCA_PCT25SFUUF",2022-01-01,45.2,"States",28
"PNADCA_PCT25SFUUF",2023-01-01,42.1,"States",28
"PNADCA_PCT25SFUUF",2024-01-01,41.7,"States",28
"PNADCA_PCT25SFUUF",2016-01-01,50.4,"States",29
"PNADCA_PCT25SFUUF",2017-01-01,50.2,"States",29
"PNADCA_PCT25SFUUF",2018-01-01,49,"States",29
"PNADCA_PCT25SFUUF",2019-01-01,47.8,"States",29
"PNADCA_PCT25SFUUF",2022-01-01,43.1,"States",29
"PNADCA_PCT25SFUUF",2023-01-01,42.8,"States",29
"PNADCA_PCT25SFUUF",2024-01-01,40,"States",29
"PNADCA_PCT25SFUUF",2016-01-01,44,"States",31
"PNADCA_PCT25SFUUF",2017-01-01,43.9,"States",31
"PNADCA_PCT25SFUUF",2018-01-01,42.5,"States",31
"PNADCA_PCT25SFUUF",2019-01-01,41.6,"States",31
"PNADCA_PCT25SFUUF",2022-01-01,38.2,"States",31
"PNADCA_PCT25SFUUF",2023-01-01,36.8,"States",31
"PNADCA_PCT25SFUUF",2024-01-01,35,"States",31
"PNADCA_PCT25SFUUF",2016-01-01,40.3,"States",32
"PNADCA_PCT25SFUUF",2017-01-01,38.8,"States",32
"PNADCA_PCT25SFUUF",2018-01-01,38.5,"States",32
"PNADCA_PCT25SFUUF",2019-01-01,37.7,"States",32
"PNADCA_PCT25SFUUF",2022-01-01,34.3,"States",32
"PNADCA_PCT25SFUUF",2023-01-01,33.9,"States",32
"PNADCA_PCT25SFUUF",2024-01-01,31.4,"States",32
"PNADCA_PCT25SFUUF",2016-01-01,30.8,"States",33
"PNADCA_PCT25SFUUF",2017-01-01,30.1,"States",33
"PNADCA_PCT25SFUUF",2018-01-01,27.9,"States",33
"PNADCA_PCT25SFUUF",2019-01-01,26.5,"States",33
"PNADCA_PCT25SFUUF",2022-01-01,23.7,"States",33
"PNADCA_PCT25SFUUF",2023-01-01,22.7,"States",33
"PNADCA_PCT25SFUUF",2024-01-01,22.9,"States",33
"PNADCA_PCT25SFUUF",2016-01-01,30.2,"States",35
"PNADCA_PCT25SFUUF",2017-01-01,28.7,"States",35
"PNADCA_PCT25SFUUF",2018-01-01,28.5,"States",35
"PNADCA_PCT25SFUUF",2019-01-01,27.6,"States",35
"PNADCA_PCT25SFUUF",2022-01-01,24.8,"States",35
"PNADCA_PCT25SFUUF",2023-01-01,24.7,"States",35
"PNADCA_PCT25SFUUF",2024-01-01,23.8,"States",35
"PNADCA_PCT25SFUUF",2016-01-01,39.1,"States",41
"PNADCA_PCT25SFUUF",2017-01-01,39.2,"States",41
"PNADCA_PCT25SFUUF",2018-01-01,38.5,"States",41
"PNADCA_PCT25SFUUF",2019-01-01,36.4,"States",41
"PNADCA_PCT25SFUUF",2022-01-01,34.3,"States",41
"PNADCA_PCT25SFUUF",2023-01-01,32.9,"States",41
"PNADCA_PCT25SFUUF",2024-01-01,32.5,"States",41
"PNADCA_PCT25SFUUF",2016-01-01,38.7,"States",42
"PNADCA_PCT25SFUUF",2017-01-01,37,"States",42
"PNADCA_PCT25SFUUF",2018-01-01,35.6,"States",42
"PNADCA_PCT25SFUUF",2019-01-01,34,"States",42
"PNADCA_PCT25SFUUF",2022-01-01,30.7,"States",42
"PNADCA_PCT25SFUUF",2023-01-01,30.4,"States",42
"PNADCA_PCT25SFUUF",2024-01-01,27.7,"States",42
"PNADCA_PCT25SFUUF",2016-01-01,39.4,"States",43
"PNADCA_PCT25SFUUF",2017-01-01,39,"States",43
"PNADCA_PCT25SFUUF",2018-01-01,38.7,"States",43
"PNADCA_PCT25SFUUF",2019-01-01,35.8,"States",43
"PNADCA_PCT25SFUUF",2022-01-01,33.4,"States",43
"PNADCA_PCT25SFUUF",2023-01-01,33.6,"States",43
"PNADCA_PCT25SFUUF",2024-01-01,31.6,"States",43
"PNADCA_PCT25SFUUF",2016-01-01,44.1,"States",50
"PNADCA_PCT25SFUUF",2017-01-01,41.3,"States",50
"PNADCA_PCT25SFUUF",2018-01-01,41.1,"States",50
"PNADCA_PCT25SFUUF",2019-01-01,39.4,"States",50
"PNADCA_PCT25SFUUF",2022-01-01,33.7,"States",50
"PNADCA_PCT25SFUUF",2023-01-01,32.9,"States",50
"PNADCA_PCT25SFUUF",2024-01-01,32,"States",50
"PNADCA_PCT25SFUUF",2016-01-01,43.6,"States",51
"PNADCA_PCT25SFUUF",2017-01-01,43.1,"States",51
"PNADCA_PCT25SFUUF",2018-01-01,41.3,"States",51
"PNADCA_PCT25SFUUF",2019-01-01,38.6,"States",51
"PNADCA_PCT25SFUUF",2022-01-01,35.2,"States",51
"PNADCA_PCT25SFUUF",2023-01-01,32.6,"States",51
"PNADCA_PCT25SFUUF",2024-01-01,29.5,"States",51
"PNADCA_PCT25SFUUF",2016-01-01,40.7,"States",52
"PNADCA_PCT25SFUUF",2017-01-01,40.8,"States",52
"PNADCA_PCT25SFUUF",2018-01-01,39.3,"States",52
"PNADCA_PCT25SFUUF",2019-01-01,37.8,"States",52
"PNADCA_PCT25SFUUF",2022-01-01,34.4,"States",52
"PNADCA_PCT25SFUUF",2023-01-01,31.9,"States",52
"PNADCA_PCT25SFUUF",2024-01-01,30.2,"States",52
"PNADCA_PCT25SFUUF",2016-01-01,22.9,"States",53
"PNADCA_PCT25SFUUF",2017-01-01,23.4,"States",53
"PNADCA_PCT25SFUUF",2018-01-01,23,"States",53
"PNADCA_PCT25SFUUF",2019-01-01,21.8,"States",53
"PNADCA_PCT25SFUUF",2022-01-01,19.2,"States",53
"PNADCA_PCT25SFUUF",2023-01-01,17.8,"States",53
"PNADCA_PCT25SFUUF",2024-01-01,17,"States",53
